tag_id,animal_id,animal_taxon,deploy_on_date,deploy_off_date,hunt,prey_p_month,animal_reproductive_condition,animal_sex,hrs_indoors,n_cats,study_site,age_years
Tommy-Tag,Tommy,Felis catus,2017-06-03 01:02:09,2017-06-10 02:10:52,True,12.5,Fixed,m,12.5,2,UK,11.0
Athena,Athena,Felis catus,2017-06-24 01:02:13,2017-06-30 23:59:32,True,3.0,Fixed,f,7.5,2,UK,3.0
Ares,Ares,Felis catus,2017-06-24 01:03:57,2017-06-30 23:58:01,False,0.0,Fixed,m,7.5,2,UK,3.0
Lola,Lola,Felis catus,2017-06-24 01:18:49,2017-06-30 09:04:40,True,3.0,Fixed,f,17.5,1,UK,10.0
Maverick,Maverick,Felis catus,2017-06-25 01:04:35,2017-07-03 09:10:07,True,3.0,Fixed,m,12.5,1,UK,7.0
Coco,Coco,Felis catus,2017-06-28 01:02:22,2017-07-05 06:50:04,True,3.0,Fixed,f,12.5,2,UK,7.0
Charlie,Charlie,Felis catus,2017-06-28 01:03:33,2017-07-04 07:08:31,True,3.0,Fixed,m,12.5,3,UK,6.0
Jago,Jago,Felis catus,2017-06-28 04:10:59,2017-07-04 02:50:05,True,17.5,Fixed,m,7.5,4,UK,2.0
Morpheus-Tag,Morpheus,Felis catus,2017-07-01 01:02:18,2017-07-09 06:39:05,True,3.0,Fixed,m,2.5,2,UK,4.0
Nettle-Tag,Nettle,Felis catus,2017-07-01 01:05:50,2017-07-08 00:05:12,True,7.5,Fixed,f,12.5,2,UK,4.0
Meg-Tag,Meg,Felis catus,2017-07-02 01:02:43,2017-07-09 00:36:13,True,3.0,Unneutered,f,12.5,1,UK,8.0
Friday,Friday,Felis catus,2017-07-02 07:28:08,2017-07-07 21:56:16,True,0.5,Fixed,m,7.5,1,UK,1.0
Carbonel-Tag,Carbonel,Felis catus,2017-07-07 01:01:46,2017-07-14 02:51:28,True,0.0,Fixed,m,17.5,1,UK,8.0
Fonzie-Tag,Fonzie,Felis catus,2017-07-08 01:02:02,2017-07-15 08:10:04,True,0.5,Fixed,m,12.5,2,UK,10.0
Jessy-Tag,Jessy,Felis catus,2017-07-08 01:02:52,2017-07-08 13:12:54,True,3.0,Fixed,f,12.5,1,UK,11.0
Barney-Tag,Barney,Felis catus,2017-07-08 01:16:36,2017-07-15 07:20:01,True,0.5,Fixed,m,12.5,2,UK,11.0
Sparky-Tag,Sparky,Felis catus,2017-07-08 02:36:48,2017-07-15 01:56:49,True,0.5,Fixed,f,7.5,4,UK,8.0
Indie-Tag,Indie,Felis catus,2017-07-09 01:03:00,2017-07-16 09:33:00,True,0.5,Fixed,m,17.5,2,UK,3.0
Whiskey-Tag,Whiskey,Felis catus,2017-07-09 01:04:12,2017-07-16 03:11:05,True,0.5,Fixed,m,17.5,1,UK,5.0
Rusty-Tag,Rusty,Felis catus,2017-07-09 02:19:00,2017-07-16 00:34:00,True,3.0,Fixed,m,17.5,1,UK,4.0
Mifty-Tag,Mifty,Felis catus,2017-07-13 01:01:00,2017-07-20 00:31:00,True,12.5,Fixed,f,7.5,1,UK,2.0
Wilfred-Tag,Wilfred,Felis catus,2017-07-13 01:01:06,2017-07-20 01:19:06,False,0.0,Fixed,m,7.5,1,UK,6.0
Poppet-Tag,Poppet,Felis catus,2017-07-13 01:02:57,2017-07-19 20:52:53,True,3.0,Fixed,f,22.5,3,UK,10.0
Pussy-Tag,Pussy,Felis catus,2017-07-13 01:05:34,2017-07-20 16:06:52,True,3.0,Fixed,m,2.5,3,UK,2.0
