tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,hunt,prey_p_month,age_years,animal-reproductive-condition,animal-sex,hrs_indoors, n_cats,study-site
Frizzle,Frizzle,Felis catus,32:04.0,57:04.0, Yes,0,3,Neutered,m,20,1,AUS
MonMonTag,MonMon,Felis catus,32:22.0,59:55.0, Yes,3,4,Spayed,f,0,1,AUS
BuddyTag,Buddy,Felis catus,59:33.0,01:21.0, Yes,1,2,Neutered,m,21,1,AUS
TigerTag,Tiger,Felis catus,32:24.0,54:13.0, Yes,1,5,Neutered,m,10,1,AUS
JamieTag,Jamie,Felis catus,32:31.0,57:56.0, Yes,3,9,Neutered,m,10,1,AUS
BruceWillisPussingtonTag,BruceWillisPussington,Felis catus,31:46.0,06:25.0, Yes,1,7,Neutered,m,14,1,AUS
SkittlesTag,Skittles,Felis catus,02:05.0,16:01.0, Yes,11,2,Neutered,m,18,1,AUS
PrincessTag,Princess,Felis catus,02:59.0,05:03.0, Yes,6,0,Spayed,f,8,1,AUS
LoftyTag,Lofty,Felis catus,17:51.0,37:44.0, Yes,21,13,Neutered,m,3,1,AUS
ZazzieTag,Zazzie,Felis catus,23:59.0,45:28.0, Yes,0,12,Neutered,m,5,1,AUS
CrumpetTag,Crumpet,Felis catus,25:34.0,44:34.0, Yes,3,4,Spayed,f,7,1,AUS
TobyTag,Toby,Felis catus,01:52.0,28:53.0, Yes,1,0,Neutered,m,12,1,AUS
IsabelTag,Isabel,Felis catus,20:45.0,38:20.0, Yes,1,3,Spayed,f,10,1,AUS
PennyTag,Penny,Felis catus,01:57.0,28:16.0, Yes,2,2,Spayed,f,10,1,AUS
MistyTag,Misty,Felis catus,02:34.0,29:13.0, Yes,9,10,Spayed,f,1,1,AUS
SookieTag,Sookie,Felis catus,02:51.0,28:36.0, Yes,21,6,Spayed,f,6,1,AUS
PippinTag,Pippin,Felis catus,02:57.0,02:00.0, Yes,7,5,Neutered,m,2,1,AUS
SqueakTag,Squeak,Felis catus,39:45.0,35:51.0, Yes,11,2,Spayed,f,14,1,AUS
AnakinTag,Anakin,Felis catus,02:04.0,27:08.0, Yes,1,2,Neutered,m,10,1,AUS
ErnieTag,Ernie,Felis catus,05:01.0,28:10.0, Yes,0,11,Neutered,m,5,1,AUS
WallyTag,Wally,Felis catus,05:17.0,29:56.0, Yes,0,2,Neutered,m,5,2,AUS
BellaTag,Bella,Felis catus,34:26.0,58:51.0, No,0,14,Spayed,f,23,1,AUS
JaxTag,Jax,Felis catus,02:03.0,29:34.0, Yes,6,2,Neutered,m,10,1,AUS
RamsesTag,Ramses,Felis catus,02:39.0,08:41.0, Yes,1,6,Neutered,m,8,1,AUS
TiggaTag,Tigga,Felis catus,18:26.0,35:49.0, Yes,3,12,Neutered,m,3,1,AUS
FantaPantsTag,FantaPants,Felis catus,32:04.0,07:04.0, Yes,2,5,Neutered,m,4,1,AUS
MatildaTag,Matilda,Felis catus,50:12.0,27:23.0, Yes,1,8,Spayed,f,12,1,AUS
TilenTag,Tilen,Felis catus,43:39.0,32:07.0, ,0,1,Fixed, ,10,1,AUS
BelTag,Bel,Felis catus,46:20.0,29:48.0, Yes,4,1,Spayed,f,20,1,AUS
Lucy2Tag,Lucy2,Felis catus,01:55.0,28:33.0, No,0,1,Spayed,f,8,1,AUS
OllieTag,Ollie,Felis catus,02:04.0,27:03.0, Yes,4,5,Neutered,m,12,1,AUS
CharlieTag,Charlie,Felis catus,31:29.0,57:16.0, Yes,2,5,Neutered,m,16,1,AUS
SissyTag,Sissy,Felis catus,31:58.0,59:24.0, Yes,1,3,Spayed,f,18,3,AUS
LouiseTag,Louise,Felis catus,32:29.0,56:58.0, Yes,3,4,Spayed,f,15,2,AUS
JasperTag,Jasper,Felis catus,33:46.0,57:56.0, No,0,5,Neutered,m,12,1,AUS
LightningTag,Lightning,Felis catus,55:04.0,23:39.0, ,0,1,Spayed,f,9,1,AUS
MandyTag,Mandy,Felis catus,00:59.0,44:02.0, Yes,6,1,Spayed,f,12,2,AUS
SaffyTag,Saffy,Felis catus,31:59.0,55:01.0, Yes,1,2,Spayed,f,22,1,AUS
ShellyTag,Shelly,Felis catus,33:54.0,40:42.0, ,0,6,Spayed,f,1,1,AUS
RubyTag,Ruby,Felis catus,31:03.0,26:27.0, Yes,3,10,Spayed,f,12,1,AUS
ThomasTag,Thomas,Felis catus,32:22.0,35:58.0, Yes,0,5,Neutered,m,4,1,AUS
MystiTag,Mysti,Felis catus,51:17.0,26:38.0, Yes,1,18,Spayed,f,20,1,AUS
MoochieTag,Moochie,Felis catus,26:00.0,42:11.0, No,0,4,Spayed,f,10,1,AUS
RaizorTag,Raizor,Felis catus,30:41.0,18:43.0, Yes,5,2,Spayed,f,8,2,AUS
NekoMeiTag,NekoMei,Felis catus,30:57.0,06:09.0, No,0,9,Spayed,f,14,3,AUS
MillyTag,Milly,Felis catus,31:42.0,10:07.0, Yes,5,4,Spayed,f,10,1,AUS
SlasherTag,Slasher,Felis catus,32:41.0,12:40.0, Yes,9,8,Fixed, ,8,1,AUS
DetectiveTeddyTag,DetectiveTeddy,Felis catus,32:56.0,58:50.0, Yes,5,8,Neutered,m,5,1,AUS
Misty2Tag,Misty2,Felis catus,32:58.0,47:39.0, Yes,17,8,Spayed,f,15,1,AUS
BigFellaTag,BigFella,Felis catus,33:30.0,05:57.0, Yes,2,7,Fixed, ,12,1,AUS
LadyVelvetTag,LadyVelvet,Felis catus,33:32.0,58:50.0, No,1,8,Spayed,f,20,2,AUS
MaxTag,Max,Felis catus,36:05.0,24:11.0, Yes,21,8,Neutered,m,15,2,AUS
MikaTag,Mika,Felis catus,02:43.0,28:36.0, Yes,1,3,Spayed,f,18,1,AUS
AtikTag,Atik,Felis catus,33:26.0,57:42.0, Yes,5,2,Spayed,f,12,1,AUS
KallieTag,Kallie,Felis catus,33:56.0,57:44.0, Yes,5,1,Spayed,f,10,1,AUS
PixieTag,Pixie,Felis catus,34:28.0,59:41.0, Yes,3,5,Spayed,f,10,1,AUS
GenieTag,Genie,Felis catus,47:26.0,31:43.0, Yes,2,4,Spayed,f,14,1,AUS
Milly2Tag,Milly2,Felis catus,50:34.0,27:29.0, Yes,3,11,Spayed,f,15,1,AUS
SkittyTag,Skitty,Felis catus,02:33.0,54:26.0, Yes,6,5,Neutered,m,3,1,AUS
Max2Tag,Max2,Felis catus,33:56.0,28:17.0, Yes,2,3,Neutered,m,3,1,AUS
KittyTag,Kitty,Felis catus,47:46.0,23:07.0, Yes,1,4,Neutered,m,3,1,AUS
DrakeTag,Drake,Felis catus,39:01.0,07:00.0, Yes,1,10,Spayed,f,18,1,AUS
DelilahTag,Delilah,Felis catus,46:17.0,55:06.0, Yes,5,2,Spayed,f,18,2,AUS
