tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,hunt, prey_p_month,age_years,animal-reproductive-condition,animal-sex,hrs_indoors,study-site
Gingernut,Gingernut,Felis catus,04:07.0,32:43.0, Yes,11,2,Neutered,m,2,NZ
TabithaTag,Tabitha,Felis catus,01:55.0,00:22.0, Yes,1,1,Spayed,f,10,NZ
KittyTag,Kitty,Felis catus,02:40.0,53:06.0, Yes,1,14,Spayed,f,8,NZ
MurphyTag,Murphy,Felis catus,03:10.0,48:30.0, Yes,2,5,Neutered,m,8,NZ
PandaTag,Panda,Felis catus,47:26.0,18:52.0, Yes,1,3,Spayed,f,10,NZ
GeordieTag,Geordie,Felis catus,01:06.0,31:52.0, Yes,1,,Spayed,f,12,NZ
FritzTag,Fritz,Felis catus,01:43.0,07:03.0, Yes,5,7,Neutered,m,12,NZ
BanzaiTag,Banzai,Felis catus,02:32.0,25:50.0, Yes,1,3,Neutered,m,15,NZ
NekoTag,Neko,Felis catus,03:41.0,11:28.0, Yes,1,2,Neutered,m,5,NZ
MogadonTag,Mogadon,Felis catus,04:05.0,17:19.0, No,0,9,Spayed,f,23,NZ
SkyTag,Sky,Felis catus,02:18.0,08:26.0, Yes,2,6,Neutered,m,18,NZ
PussumsTag,Pussums,Felis catus,03:12.0,40:58.0, Yes,21,5,Neutered,m,4,NZ
SmudgeTag,Smudge,Felis catus,00:17.0,57:44.0, Yes,3,4,Neutered,m,10,NZ
TacoTag,Taco,Felis catus,01:41.0,38:15.0, Yes,5,1,Neutered,m,8,NZ
BlackieTag,Blackie,Felis catus,01:47.0,59:45.0, Yes,3,9,Neutered,m, ,NZ
TiggerTag,Tigger,Felis catus,02:03.0,01:48.0, Yes,11,6,Neutered,m,8,NZ
SpecklesTag,Speckles1,Felis catus,02:32.0,43:01.0, Yes,7,0.8,Spayed,f,6,NZ
MuffinTag,Muffin,Felis catus,02:26.0,55:06.0, No,0,9,Spayed,f,15,NZ
MollyTag,Molly,Felis catus,20:56.0,53:16.0, No,0,8,Spayed,f,12,NZ
FlossTag,Floss,Felis catus,05:28.0,00:19.0, Yes,11,1,Spayed,f,12,NZ
JinxTag,Jinx,Felis catus,00:56.0,32:15.0, Yes,1,8,Neutered,m,20,NZ
AvaTag,Ava,Felis catus,02:06.0,31:38.0, Yes,2,2,Spayed,f,20,NZ
AllieTag,Allie,Felis catus,00:16.0,02:35.0, Yes,2,8,Spayed,f,6,NZ
JessTag,Jess,Felis catus,01:06.0,46:46.0, Yes,1,11,Spayed,f,12,NZ
Timmy1Tag,Timmy1,Felis catus,01:36.0,48:52.0, Yes,6,1,Neutered,m,12,NZ
TeddyTag,Teddy,Felis catus,01:53.0,45:09.0, No,0,5,Neutered,m,15,NZ
