tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,hunt,prey_p_month,age_years,animal-reproductive-condition,animal-sex,hrs_indoors, n_cats,study-site,state
sweetpeatag,Sweetpea,Felis catus,52:57.0,06:19.0, Yes,12,7,Spayed,f,9,1,US,NC
motorcattag,Motorcat,Felis catus,05:13.0,44:39.0, Yes,1,14,Spayed,f,12,1,US,NC
Gracietag,Gracie,Felis catus,04:33.0,12:22.0, Yes,4,10,Spayed,f,4,1,US,NC
Lestertag,Lester,Felis catus,02:27.0,22:59.0, Yes,1,13,Neutered,m,1,1,US,NC
LaceyTag,Lacey,Felis catus,01:24.0,57:26.0, Yes,8,3,Spayed,f,11,2,US,NC
Banjo2Tag,Banjo2,Felis catus,08:36.0,24:28.0, Yes,1,9,Spayed,f,16,1,US,NC
Tex2Tag,Tex2,Felis catus,41:37.0,59:12.0, Yes,4,5,Spayed,f,11,2,US,NC
Maddie2Tag,Maddie2,Felis catus,03:29.0,52:08.0, Yes,1,10,Spayed,f,10.5,3,US,NC
Tiger2Tag,Tiger2,Felis catus,04:33.0,49:43.0, Yes,4,5,Neutered,m,5,2,US,NC
OatmealTag,Oatmeal,Felis catus,02:35.0,29:43.0, No,0,5,Neutered,m,17,2,US,NC
OscarNTag,OscarN,Felis catus,02:05.0,25:27.0, No,0,5,Neutered,m,17,1,US,NC
TonkaTag,Tonka2,Felis catus,21:51.0,58:11.0, Yes,0,13,Neutered,m,7.5,1,US,NC
Jello2Tag,Jello2,Felis catus,01:58.0,58:23.0, Yes,4,3,Neutered,m,9,2,US,NC
Harley2Tag,Harley2,Felis catus,03:05.0,41:26.0, Yes,4,5,Spayed,f,24,2,US,NC
Survivor2Tag,Survivor2,Felis catus,17:35.0,03:05.0, Yes,4,2,Neutered,m,13,3,US,NC
Beatle2Tag,Beatle2,Felis catus,17:37.0,59:33.0, No,0,7,Neutered,m,10,3,US,NC
Boris2Tag,Boris2,Felis catus,42:44.0,05:47.0, Yes,4,2,Neutered,m,14,2,US,NC
Natasha2Tag,Natasha2,Felis catus,27:04.0,34:26.0, No,0,2,Spayed,f,19,2,US,NC
SasquatchTag,Sasquatch2,Felis catus,02:44.0,05:08.0, Yes,1,4,Neutered,m,8,1,US,NC
Jams2Tag,Jams2,Felis catus,03:10.0,06:29.0, Yes,4,9,Neutered,m,11,2,US,NC
Catniss EverdeenTag,Catniss Everdeen,Felis catus,02:29.0,17:15.0, No,0,1,Spayed,f,11,2,US,NC
Donald FluffypantsTag,Donald Fluffypants,Felis catus,02:34.0,46:57.0, Yes,4,3,Neutered,m,12,2,US,NC
JetpackTag,Jetpack,Felis catus,02:58.0,27:12.0, Yes,4,2,Spayed,f,12,2,US,NC
Martha2Tag,Martha Wayne2,Felis catus,03:30.0,21:58.0, No,0,3,Spayed,f,11,1,US,NC
JitterbugTag,Jitterbug2,Felis catus,16:54.0,58:06.0, Yes,1,2,Spayed,f,9,2,US,NC
Violet Mae2Tag,Violet Mae2,Felis catus,46:21.0,36:03.0, No,0,7,Spayed,f,2.5,3,US,NC
Katniss EverdeenTag,Katniss Everdeen,Felis catus,02:29.0,17:15.0, No,0,1,Spayed,f,11,2,US,NC
Ajax2Tag,Ajax2,Felis catus,35:40.0,22:42.0, Yes,4,3,Neutered,m,11,2,US,TN
Shakespeare2Tag,Shakespeare2,Felis catus,02:29.0,10:54.0, Yes,1,4,Neutered,m,8,2,US,NC
